;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;Índice ;;;;;
;;  ;;;;;;;;
; Período ;;Índice de Gini;;;;;;;
;Marzo ;2014;0,479;;;;;;;
;;2015;0,455;;;;;;;
;;2016;0,484;;;;;;;
;;2017;0,467;;;;;;;
;Junio;   2007 (1);-;;;;;;;
;;2008;0,525;;;;;;;
;;   2009 (1);-;;;;;;;
;;2010;0,519;;;;;;;
;;2011;0,497;;;;;;;
;;2012;0,471;;;;;;;
;;2013;0,463;;;;;;;
;;2014;0,486;;;;;;;
;;2015;0,459;;;;;;;
;;2016;0,465;;;;;;;
;;2017;0,462;;;;;;;
;Septiembre ;2014;0,485;;;;;;;
;;2015;0,480;;;;;;;
;;2016;0,466;;;;;;;
;Diciembre;2007;0,551;;;;;;;
;;2008;0,515;;;;;;;
;;2009;0,504;;;;;;;
;;2010;0,505;;;;;;;
;;2011;0,473;;;;;;;
;;2012;0,477;;;;;;;
;;2013;0,485;;;;;;;
;;2014;0,467;;;;;;;
;;2015;0,476;;;;;;;
;;2016;0,466;;;;;;;
;;;;;;;;;;
;Fuente: Encuesta Nacional de Empleo, Desempleo y Subempleo - ENEMDU.;;;;;;;;;
;Notas: (1) La información en junio 2007 y junio 2009 solo fue representativa a nivel urbano.;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
